Title,Author,Series,Series_No,Original_Publication_Year,Genres,Length_Pages,ISBN,Publisher,Notes,Cover_Link
Mystic River,Dennis Lehane,,,2001.0,Crime; Mystery; Literary,,,,,https://covers.openlibrary.org/b/id/432349-L.jpg
Dumb Witness,Agatha Christie,Hercule Poirot,15.0,1937.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/14578123-L.jpg
Tripwire,Lee Child,Jack Reacher,3.0,1999.0,Thriller; Crime,,,,,https://covers.openlibrary.org/b/id/14424673-L.jpg
Appointment with Death,Agatha Christie,Hercule Poirot,16.0,1938.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/14561660-L.jpg
Hercule Poirot’s Christmas,Agatha Christie,Hercule Poirot,17.0,1938.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/12855074-L.jpg
Classical Philosophy,Peter Adamson,A History of Philosophy Without Any Gaps,1.0,2014.0,Nonfiction; Philosophy; History,,,,,https://covers.openlibrary.org/b/id/11037756-L.jpg
The Black Echo,Michael Connelly,Harry Bosch,1.0,1992.0,Crime; Mystery; Thriller,,,,,https://covers.openlibrary.org/b/id/184039-L.jpg
The Visitor (Running Blind),Lee Child,Jack Reacher,4.0,2000.0,Thriller; Crime,,,,"Published as 'Running Blind' in the U.S., 'The Visitor' in the U.K.",
The Jefferson Key,Steve Berry,Cotton Malone,7.0,2011.0,Thriller; Adventure; Mystery,,,,,https://covers.openlibrary.org/b/id/6935418-L.jpg
The Black Ice,Michael Connelly,Harry Bosch,2.0,1993.0,Crime; Mystery; Thriller,,,,,https://covers.openlibrary.org/b/id/184094-L.jpg
The Concrete Blonde,Michael Connelly,Harry Bosch,3.0,1994.0,Crime; Mystery; Thriller,,,,,https://covers.openlibrary.org/b/id/184142-L.jpg
The King's Deception,Steve Berry,Cotton Malone,8.0,2013.0,Thriller; Adventure; Mystery,,,,,https://covers.openlibrary.org/b/id/10725423-L.jpg
Malice,John Gwynne,The Faithful and the Fallen,1.0,2012.0,Fantasy; Epic,,,,,https://covers.openlibrary.org/b/id/8458717-L.jpg
Echo Burning,Lee Child,Jack Reacher,5.0,2001.0,Thriller; Crime,,,,,https://covers.openlibrary.org/b/id/14424686-L.jpg
The Last Coyote,Michael Connelly,Harry Bosch,4.0,1995.0,Crime; Mystery; Thriller,,,,,https://covers.openlibrary.org/b/id/184255-L.jpg
The Lincoln Myth,Steve Berry,Cotton Malone,9.0,2014.0,Thriller; Adventure; Mystery,,,,,https://covers.openlibrary.org/b/id/8290056-L.jpg
Without Fail,Lee Child,Jack Reacher,6.0,2002.0,Thriller; Crime,,,,,https://covers.openlibrary.org/b/id/14424682-L.jpg
The Silent Patient,Alex Michaelides,,,2019.0,Psychological Thriller; Mystery,,,,,https://covers.openlibrary.org/b/id/9407338-L.jpg
The Locked Door,Freida McFadden,,,2021.0,Psychological Thriller; Mystery,,,,,https://covers.openlibrary.org/b/id/13156268-L.jpg
The Patriot Threat,Steve Berry,Cotton Malone,10.0,2015.0,Thriller; Adventure; Mystery,,,,,https://covers.openlibrary.org/b/id/11322367-L.jpg
A Great Deliverance,Elizabeth George,Inspector Lynley,1.0,1988.0,Crime; Mystery,,,,,https://covers.openlibrary.org/b/id/914255-L.jpg
The Bat,Jo Nesbø,Harry Hole,1.0,1997.0,Crime; Nordic Noir; Mystery,,,,,https://covers.openlibrary.org/b/id/7391270-L.jpg
I Am Pilgrim,Terry Hayes,,,2013.0,Thriller; Spy,,,,,https://covers.openlibrary.org/b/id/9128395-L.jpg
The Expats,Chris Pavone,,,2012.0,Thriller; Spy; Suspense,,,,,https://covers.openlibrary.org/b/id/9062427-L.jpg
The Kill Artist,Daniel Silva,Gabriel Allon,1.0,2000.0,Thriller; Spy,,,,,https://covers.openlibrary.org/b/id/227545-L.jpg
A Foreign Country,Charles Cumming,Thomas Kell,1.0,2012.0,Thriller; Spy,,,,,https://covers.openlibrary.org/b/id/8050215-L.jpg
The English Assassin,Daniel Silva,Gabriel Allon,2.0,2002.0,Thriller; Spy,,,,,https://covers.openlibrary.org/b/id/258934-L.jpg
Confessions,Kanae Minato,,,2008.0,Psychological Thriller; Mystery,,,,English translation first published 2014.,
Dark Matter,Blake Crouch,,,2016.0,Science Fiction; Thriller,,,,,https://covers.openlibrary.org/b/id/7436634-L.jpg
The Confessor,Daniel Silva,Gabriel Allon,3.0,2003.0,Thriller; Spy,,,,,https://covers.openlibrary.org/b/id/259012-L.jpg
The 14th Colony,Steve Berry,Cotton Malone,11.0,2016.0,Thriller; Adventure; Mystery,,,,,https://covers.openlibrary.org/b/id/8110347-L.jpg
